-0.064445,-0.403618,0.750000,-0.047151,0.067176,-0.289729,0.953583,-0.480904,0.593868,0.055048,0.828427,0.076941,-0.014958,-0.502023,-0.083865,0.237635,0.606402,0.130938,0.002988,-0.088859,0.000000,0.000000,-0.624536,0.006975,-0.519461,-0.368191,0.000000,0.000000,0.000000,-0.510885,-0.475507,-0.287206,-0.540276,0.000000,0.000000,0.000000
-0.068843,-0.419165,0.750705,-0.051036,0.066373,-0.282056,0.955738,-0.467589,0.606234,0.037770,0.791785,0.082373,-0.014784,-0.482240,-0.067434,0.221840,0.606367,0.131406,0.002702,-0.090912,0.000000,0.000000,-0.628384,0.005356,-0.518488,-0.371187,0.000000,0.000000,0.000000,-0.512510,-0.493286,-0.298418,-0.533942,0.000000,0.000000,0.000000
-0.073158,-0.433377,0.750761,-0.052883,0.065590,-0.277844,0.956924,-0.452464,0.613786,0.022976,0.755822,0.088867,-0.014604,-0.469452,-0.057146,0.207553,0.606605,0.130317,0.002431,-0.090516,0.000000,0.000000,-0.631904,0.001945,-0.517902,-0.374160,0.000000,0.000000,0.000000,-0.516097,-0.510346,-0.308285,-0.525460,0.000000,0.000000,0.000000
-0.077064,-0.445483,0.750095,-0.052791,0.064456,-0.277984,0.956966,-0.435606,0.617152,0.011276,0.726229,0.095917,-0.014428,-0.464568,-0.051330,0.195086,0.609668,0.127443,0.002228,-0.091055,0.000000,0.000000,-0.632621,-0.004212,-0.518653,-0.376134,0.000000,0.000000,0.000000,-0.518308,-0.522439,-0.314010,-0.515069,0.000000,0.000000,0.000000
-0.080572,-0.454018,0.749157,-0.052697,0.062182,-0.283247,0.955577,-0.417902,0.619068,0.001006,0.707906,0.102709,-0.014298,-0.467229,-0.046458,0.183978,0.618377,0.122953,0.002164,-0.094954,0.000000,0.000000,-0.624601,-0.010846,-0.521285,-0.376523,0.000000,0.000000,0.000000,-0.515740,-0.525565,-0.315045,-0.503380,0.000000,0.000000,0.000000
-0.083315,-0.459173,0.747066,-0.050477,0.060636,-0.294436,0.952409,-0.403822,0.616788,-0.006011,0.704223,0.108315,-0.014249,-0.483490,-0.045614,0.177300,0.634499,0.116627,0.002248,-0.100450,0.000000,0.000000,-0.608799,-0.016387,-0.525025,-0.374628,0.000000,0.000000,0.000000,-0.503620,-0.515883,-0.307981,-0.490680,0.000000,0.000000,0.000000
-0.084011,-0.461064,0.743978,-0.045805,0.058277,-0.312421,0.947048,-0.387614,0.606983,-0.007983,0.717622,0.112963,-0.014246,-0.509927,-0.049062,0.176555,0.659085,0.109094,0.002536,-0.112593,0.000000,0.000000,-0.587321,-0.020363,-0.526513,-0.372518,0.000000,0.000000,0.000000,-0.475784,-0.487852,-0.289427,-0.480952,0.000000,0.000000,0.000000
-0.083608,-0.459260,0.740869,-0.038608,0.056602,-0.337591,0.938796,-0.371138,0.589155,-0.004171,0.744647,0.116579,-0.014303,-0.549105,-0.053821,0.182120,0.687680,0.100836,0.003061,-0.134336,0.000000,0.000000,-0.564682,-0.019215,-0.519130,-0.371038,0.000000,0.000000,0.000000,-0.435690,-0.440640,-0.256324,-0.474726,0.000000,0.000000,0.000000
-0.083373,-0.454444,0.736977,-0.029409,0.054799,-0.366758,0.928235,-0.353892,0.568073,0.006694,0.780966,0.119458,-0.014314,-0.597535,-0.058035,0.193740,0.718159,0.092681,0.003682,-0.167844,0.000000,0.000000,-0.550727,-0.002024,-0.496757,-0.369825,0.000000,0.000000,0.000000,-0.387063,-0.378846,-0.209647,-0.479020,0.000000,0.000000,0.000000
-0.083328,-0.448326,0.733493,-0.023682,0.055793,-0.393780,0.917204,-0.342281,0.558176,0.018952,0.816655,0.121271,-0.014376,-0.648395,-0.050688,0.204378,0.746660,0.085988,0.004179,-0.207582,0.000000,0.000000,-0.553405,0.043719,-0.455035,-0.367899,0.000000,0.000000,0.000000,-0.322243,-0.306945,-0.148232,-0.498064,0.000000,0.000000,0.000000
